order_id,product,category,price,quantity,payment_method,date,total,Month,Discount,City Code,Order Priority Code,Latitude,Longtitude
44,Shoes,Accessories,20743.93,4,Credit Card,13/02/2023,82975.72,February,0,2,0,1,-9.1
45,Bag,Accessories,54679.47,2,Credit Card,14/02/2023,109358.94,February,0.2,2,0,1,-9.1
46,Mobile,Electronics,60938.11,4,COD,15/02/2023,243752.44,February,0,2,0,1,-9.1
47,Laptop,Fashion,47853.28,3,Credit Card,16/02/2023,143559.84,February,0.1,2,0,1,-9.1
48,Watch,Electronics,37990.31,4,COD,17/02/2023,151961.24,February,0.15,2,,1,-9.1
49,Mobile,Fashion,33241.35,1,Easypaisa,18/02/2023,33241.35,February,0.17,2,0,1,-9.1
50,Watch,Fashion,28235.03,4,Debit Card,19/02/2023,112940.12,February,0.15,2,0,1,-9.1
51,Headphones,Fashion,74397.57,2,COD,20/02/2023,148795.14,February,0.17,2,0,1,-9.1
52,Laptop,Fashion,66534.24,1,Easypaisa,21/02/2023,66534.24,February,0.15,2,0,1,-9.1
53,Laptop,Fashion,77219.64,2,COD,22/02/2023,154439.28,February,0.15,2,0,1,-9.1
54,Mobile,Accessories,10381.63,2,COD,23/02/2023,20763.26,February,0.15,2,0,1,-9.1
55,Laptop,Electronics,58603.96,1,Debit Card,24/02/2023,58603.96,February,0.15,2,0,1,-9.1
56,Bag,Accessories,75098.07,2,JazzCash,25/02/2023,150196.14,February,0.17,2,0,1,-9.1
57,Laptop,Fashion,14908.03,2,JazzCash,26/02/2023,29816.06,February,0.17,2,0,1,-9.1
58,Watch,Electronics,5786.45,4,COD,27/02/2023,23145.8,February,0.17,2,0,1,-9.1
59,Watch,Fashion,59419.09,3,Credit Card,28/02/2023,178257.27,February,0.17,6,0,1,-9.1
60,Watch,Electronics,46170.61,2,Easypaisa,01/03/2023,92341.22,March,0.15,6,0,1,-9.1
61,Watch,Accessories,67425.39,2,Credit Card,02/03/2023,134850.78,March,0.35,6,0,1,-9.1
62,Bag,Electronics,11611.9,2,Credit Card,03/03/2023,23223.8,March,0.15,6,0,1,-9.1
63,Shoes,Electronics,63723.75,4,COD,04/03/2023,254895,March,0.17,6,0,1,-9.1
64,Headphones,Electronics,16529.37,3,COD,05/03/2023,49588.11,March,0.15,6,0,1,-9.1
65,Mobile,Electronics,13510.65,1,COD,06/03/2023,13510.65,March,0.15,,0,1,-9.1
66,Watch,Electronics,13559.13,4,COD,07/03/2023,54236.52,March,0.15,6,0,1,-9.1
67,Laptop,Fashion,65258.69,4,JazzCash,08/03/2023,261034.76,March,0.15,6,0,1,-9.1
68,Watch,Electronics,53383.18,3,COD,09/03/2023,160149.54,March,0.17,6,0,1,-9.1
69,Laptop,Electronics,42083.7,3,JazzCash,10/03/2023,126251.1,March,0.17,6,0,1,-9.1
70,Headphones,Accessories,29027.02,1,JazzCash,11/03/2023,29027.02,March,0.17,6,0,1,-9.1
71,Headphones,Electronics,70237.44,1,COD,12/03/2023,70237.44,March,0.17,6,3,1,-9.1
72,Headphones,Accessories,31699.39,4,Debit Card,13/03/2023,126797.56,March,0.15,6,3,1,-9.1
73,Laptop,Fashion,65419.66,3,Easypaisa,14/03/2023,196258.98,March,0.35,6,3,1,0
74,Watch,Electronics,35411.23,1,Credit Card,15/03/2023,35411.23,March,0.15,6,3,1,0
75,Headphones,Accessories,30467.08,3,JazzCash,16/03/2023,91401.24,March,0.15,6,3,1,0
76,Bag,Accessories,37283.04,1,Easypaisa,17/03/2023,37283.04,March,0.17,6,3,1,0
77,Laptop,Fashion,24459.54,2,Debit Card,18/03/2023,48919.08,March,0.17,6,3,1,0
78,Laptop,Electronics,59934.95,3,Credit Card,19/03/2023,179804.85,March,0.15,6,,1,0
79,Watch,Electronics,40466.27,3,Credit Card,20/03/2023,121398.81,March,0.35,6,3,1,0
80,Laptop,Accessories,18960.91,4,JazzCash,21/03/2023,75843.64,March,0.35,6,3,1,0
81,Laptop,Electronics,72016.18,3,COD,22/03/2023,216048.54,March,0.15,2,3,1,0
82,Headphones,Accessories,31019.35,3,Debit Card,23/03/2023,93058.05,March,0.17,2,3,1,0
83,Watch,Electronics,43712.45,2,JazzCash,24/03/2023,87424.9,March,0.17,2,3,1,0
84,Headphones,Accessories,72564.53,3,Debit Card,25/03/2023,217693.59,March,0.17,2,3,1,0
85,Headphones,Electronics,50126.92,2,COD,26/03/2023,100253.84,March,0.35,2,3,-0.21,0
86,Watch,Fashion,9793.39,2,COD,27/03/2023,19586.78,March,0.15,2,3,-0.21,0
87,Mobile,Electronics,75216.65,2,JazzCash,28/03/2023,150433.3,March,0.17,2,3,-0.21,0
88,Headphones,Electronics,50402.79,2,COD,29/03/2023,100805.58,March,0.15,2,3,-0.21,0
89,Bag,Fashion,27125,1,Easypaisa,30/03/2023,27125,March,0.15,2,3,-0.21,0
90,Bag,Electronics,11572.13,4,Credit Card,31/03/2023,46288.52,March,0.17,2,3,-0.21,0
91,Laptop,Fashion,12323,1,JazzCash,01/04/2023,12323,April,0.15,2,3,-0.21,0
92,Bag,Electronics,49795.78,3,Debit Card,02/04/2023,149387.34,April,0.15,2,3,-0.21,0
93,Laptop,Accessories,42910.16,1,Easypaisa,03/04/2023,42910.16,April,0.15,2,3,-0.21,0
94,Mobile,Accessories,71564.46,1,JazzCash,04/04/2023,71564.46,April,0.15,2,3,-0.21,0
95,Watch,Electronics,63193.48,3,COD,05/04/2023,189580.44,April,0.15,2,1,-0.21,0
96,Watch,Electronics,12558.15,3,COD,06/04/2023,37674.45,April,0.15,2,1,-0.21,0
97,Watch,Electronics,25281.9,3,COD,07/04/2023,75845.7,April,0.15,2,1,-0.21,0
98,Bag,Accessories,20254.89,1,COD,08/04/2023,20254.89,April,0.35,2,1,-0.21,0
99,Mobile,Electronics,59643.73,1,Debit Card,09/04/2023,59643.73,April,0.35,2,1,1,0
100,Bag,Accessories,3165.83,3,Easypaisa,10/04/2023,9497.49,April,0.15,2,1,1,0
101,Bag,Fashion,45806.23,4,Credit Card,11/04/2023,183224.92,April,0.15,,1,1,0
102,Mobile,Accessories,61115.47,4,Debit Card,12/04/2023,244461.88,April,0.17,1,1,1,0
103,Mobile,Accessories,4572,2,Debit Card,13/04/2023,9144,April,0.17,1,1,1,0
104,Mobile,Fashion,27695.5,3,Credit Card,14/04/2023,83086.5,April,0.15,1,1,1,0
105,Mobile,Accessories,65789.96,2,Credit Card,15/04/2023,131579.92,April,0.35,1,1,1,0
106,Watch,Electronics,9295.22,4,COD,16/04/2023,37180.88,April,0.17,1,1,1,0
107,Shoes,Electronics,67792.96,2,Debit Card,17/04/2023,135585.92,April,0.15,1,1,1,0
108,Shoes,Accessories,10635.35,3,JazzCash,18/04/2023,31906.05,April,0.17,1,1,1,0
109,Mobile,Electronics,32084.34,3,Credit Card,19/04/2023,96253.02,April,0.17,1,1,1,0
110,Shoes,Accessories,99865,3,Credit Card,20/04/2023,299595,April,0.35,1,1,1,0
111,Shoes,Electronics,12418.44,1,Easypaisa,21/04/2023,12418.44,April,0.35,1,,1,0
112,Mobile,Electronics,18725.49,2,JazzCash,22/04/2023,37450.98,April,0.35,1,1,1,0
113,Shoes,Accessories,57919.08,4,JazzCash,23/04/2023,231676.32,April,0.35,1,1,1,0
114,Bag,Electronics,57742.9,4,Credit Card,24/04/2023,230971.6,April,0.35,1,1,1,0
115,Laptop,Accessories,51471.24,4,COD,25/04/2023,205884.96,April,0.35,1,1,1,0
116,Laptop,Electronics,55668.9,1,Easypaisa,26/04/2023,55668.9,April,0.35,1,1,1,0
117,Mobile,Electronics,43646.59,1,JazzCash,27/04/2023,43646.59,April,0.35,1,1,1,0
118,Watch,Fashion,20518.03,3,Credit Card,28/04/2023,61554.09,April,0.35,1,1,1,0
119,Mobile,Fashion,27982.83,4,JazzCash,29/04/2023,111931.32,April,0.35,1,1,1,0
120,Watch,Accessories,14937.02,1,Easypaisa,30/04/2023,14937.02,April,0.202,1,1,1,0
121,Laptop,Fashion,72721.82,3,Easypaisa,01/05/2023,218165.46,May,0.35,1,1,1,0
122,Mobile,Accessories,46879.65,4,Debit Card,02/05/2023,187518.6,May,0.35,1,1,1,0
123,Headphones,Fashion,32367.69,2,Credit Card,03/05/2023,64735.38,May,0.35,1,1,1,0
124,Bag,Electronics,37229.46,3,Easypaisa,04/05/2023,111688.38,May,0.35,1,1,1,0
125,Shoes,Accessories,75809.03,1,Debit Card,05/05/2023,75809.03,May,0.35,1,2,1,0
126,Watch,Accessories,12691.44,1,Debit Card,06/05/2023,12691.44,May,0.35,1,2,1,0
127,Headphones,Electronics,47105.27,3,JazzCash,07/05/2023,141315.81,May,0.32,3,2,1,0
128,Shoes,Accessories,40718.15,3,JazzCash,08/05/2023,122154.45,May,0.35,3,2,1,0
129,Shoes,Accessories,49110.61,1,Debit Card,09/05/2023,49110.61,May,0.35,3,2,1,0
130,Mobile,Fashion,1939.76,2,JazzCash,10/05/2023,3879.52,May,0.202,3,2,1,0
131,Shoes,Accessories,69833.85,4,Easypaisa,11/05/2023,279335.4,May,0.35,3,2,1,0
132,Bag,Electronics,74603.4,2,COD,12/05/2023,149206.8,May,0.35,3,2,1,0
133,Headphones,Fashion,45428.09,3,Easypaisa,13/05/2023,136284.27,May,0.35,3,0,1,0
134,Shoes,Fashion,55883.74,2,Debit Card,14/05/2023,111767.48,May,0.35,3,0,1,0
135,Mobile,Electronics,73838.7,1,Debit Card,15/05/2023,73838.7,May,0.35,3,0,1,0
136,Bag,Electronics,56725.47,3,Easypaisa,16/05/2023,170176.41,May,0.35,3,0,1,0
137,Laptop,Fashion,12626.85,4,JazzCash,17/05/2023,50507.4,May,0.32,,0,1,0
138,Headphones,Accessories,46314.92,1,JazzCash,18/05/2023,46314.92,May,0.35,3,0,1,0
139,Shoes,Fashion,48733.85,1,Debit Card,19/05/2023,48733.85,May,0.202,3,0,1,0
140,Mobile,Electronics,34218.39,4,Credit Card,20/05/2023,136873.56,May,0.35,3,0,1,0
141,Laptop,Fashion,59047.32,4,JazzCash,21/05/2023,236189.28,May,0.35,3,0,1,0
142,Laptop,Electronics,74782.18,2,Easypaisa,22/05/2023,149564.36,May,0.35,3,0,1,0
143,Watch,Fashion,74082.7,3,JazzCash,23/05/2023,222248.1,May,0.35,3,0,1,0
144,Bag,Accessories,36341.73,4,Easypaisa,24/05/2023,145366.92,May,0.35,3,,1,0
145,Shoes,Fashion,7332,4,Debit Card,25/05/2023,29328,May,0.35,3,1,1,0
146,Mobile,Fashion,78794.88,3,JazzCash,26/05/2023,236384.64,May,0.35,3,1,1,0
147,Watch,Electronics,67192.4,4,Easypaisa,27/05/2023,268769.6,May,0.35,3,1,1,0
148,Bag,Electronics,10410.68,4,Debit Card,28/05/2023,41642.72,May,0.35,3,1,1,0
149,Watch,Electronics,73706.93,2,Credit Card,29/05/2023,147413.86,May,0.35,3,1,1,0
150,Headphones,Fashion,69656.76,1,Easypaisa,30/05/2023,69656.76,May,0.35,3,1,1,0
151,Bag,Accessories,41747.63,1,Credit Card,31/05/2023,41747.63,May,0.35,3,1,1,0
152,Bag,Electronics,47506.4,1,Credit Card,01/06/2023,47506.4,June,0.35,3,1,1,0
153,Shoes,Electronics,32220.71,1,COD,02/06/2023,32220.71,June,0.35,3,1,1,0
154,Bag,Fashion,4853.55,4,JazzCash,03/06/2023,19414.2,June,0.35,3,1,1,0
155,Watch,Electronics,27148.18,3,Easypaisa,04/06/2023,81444.54,June,0.35,3,1,1,0
156,Bag,Accessories,64326.85,3,Credit Card,05/06/2023,192980.55,June,0.35,3,1,1,0
157,Shoes,Accessories,2343,2,COD,06/06/2023,4686,June,0.35,3,1,1,0
158,Shoes,Electronics,27013.18,2,Debit Card,07/06/2023,54026.36,June,0.35,3,1,1,0
159,Headphones,Electronics,32154.41,4,Easypaisa,08/06/2023,128617.64,June,0.35,3,1,1,0
160,Watch,Fashion,43222.95,3,Credit Card,09/06/2023,129668.85,June,0.35,3,1,1,0
161,Laptop,Accessories,73628.52,3,JazzCash,10/06/2023,220885.56,June,0.35,3,1,1,0
162,Laptop,Accessories,28034.51,1,COD,11/06/2023,28034.51,June,0.202,3,3,1,0
163,Bag,Electronics,28082.78,4,Credit Card,12/06/2023,112331.12,June,0.35,3,3,1,0
164,Headphones,Fashion,59131.35,4,JazzCash,13/06/2023,236525.4,June,0.202,3,3,1,0
165,Mobile,Accessories,36451.33,1,Credit Card,14/06/2023,36451.33,June,0.202,3,3,1,0
166,Bag,Accessories,18356.08,4,Easypaisa,15/06/2023,73424.32,June,0.35,3,3,1,0
167,Headphones,Fashion,36468.94,4,Easypaisa,16/06/2023,145875.76,June,0.35,3,3,1,0
168,Watch,Fashion,11698.13,2,Easypaisa,17/06/2023,23396.26,June,0.35,3,3,1,0
169,Watch,Accessories,14522.77,3,COD,18/06/2023,43568.31,June,0.35,3,3,1,0
170,Watch,Accessories,40120.24,4,Easypaisa,19/06/2023,160480.96,June,0.35,3,3,1,0
171,Watch,Fashion,33804.57,2,JazzCash,20/06/2023,67609.14,June,0.35,3,,1,0
172,Watch,Accessories,73230.25,3,Credit Card,21/06/2023,219690.75,June,0.35,3,3,1,0
173,Headphones,Electronics,29310.31,1,Debit Card,22/06/2023,29310.31,June,0.35,3,3,1,0
174,Headphones,Electronics,46656.77,2,JazzCash,23/06/2023,93313.54,June,0.202,3,3,1,0
175,Shoes,Fashion,50765.01,2,JazzCash,24/06/2023,101530.02,June,0.35,3,3,1,0
176,Laptop,Fashion,1541.01,3,Easypaisa,25/06/2023,4623.03,June,0.7,,3,1,0
177,Watch,Fashion,53251.22,1,COD,26/06/2023,53251.22,June,0.7,3,3,1,0
178,Mobile,Electronics,14653.86,2,Credit Card,27/06/2023,29307.72,June,0.7,3,3,1,0
179,Headphones,Accessories,76905.09,4,COD,28/06/2023,307620.36,June,0.7,3,3,1,0
180,Mobile,Electronics,12318.69,4,Credit Card,29/06/2023,49274.76,June,0.7,3,3,1,0
181,Mobile,Accessories,33462.62,4,Credit Card,30/06/2023,133850.48,June,0.7,3,3,1,0
182,Mobile,Electronics,7285.3,1,COD,01/07/2023,7285.3,July,0.7,3,3,1,0
183,Shoes,Accessories,79751.5,2,JazzCash,02/07/2023,159503,July,0.65,3,3,1,0
184,Headphones,Electronics,40424.5,4,Credit Card,03/07/2023,161698,July,0.8,3,3,1,0
185,Mobile,Fashion,47833.11,1,COD,04/07/2023,47833.11,July,0.7,3,3,1,0
186,Watch,Electronics,5832.58,4,Credit Card,05/07/2023,23330.32,July,0.8,3,3,1,0
187,Bag,Accessories,60121.86,3,Debit Card,06/07/2023,180365.58,July,0.7,3,3,1,0
188,Mobile,Electronics,17187.49,2,JazzCash,07/07/2023,34374.98,July,0.8,3,3,1,0
189,Shoes,Electronics,71895.32,2,Easypaisa,08/07/2023,143790.64,July,0.7,3,3,1,0
190,Headphones,Electronics,16808.6,1,Credit Card,09/07/2023,16808.6,July,0.7,3,3,1,0
191,Shoes,Fashion,15659.67,1,Debit Card,10/07/2023,15659.67,July,0.7,3,3,1,0
192,Mobile,Electronics,3405.7,2,Easypaisa,11/07/2023,6811.4,July,0.8,3,3,1,0
193,Headphones,Fashion,38029.32,4,Easypaisa,12/07/2023,152117.28,July,0.7,3,3,1,0
194,Bag,Fashion,45404.87,4,Credit Card,13/07/2023,181619.48,July,0.7,3,3,1,0
195,Mobile,Electronics,5723.84,3,COD,14/07/2023,17171.52,July,0.7,3,3,1,0
196,Shoes,Electronics,62154.45,4,Credit Card,15/07/2023,248617.8,July,0.8,3,3,1,0
197,Laptop,Electronics,36536.46,1,Debit Card,16/07/2023,36536.46,July,0.7,3,3,1,0
198,Watch,Accessories,42189.03,1,Easypaisa,17/07/2023,42189.03,July,0.8,3,3,1,0
199,Shoes,Electronics,35540.64,4,Credit Card,18/07/2023,142162.56,July,0.7,3,3,1,0
200,Headphones,Fashion,32360.66,1,COD,19/07/2023,32360.66,July,0.7,3,3,1,0
201,Mobile,Electronics,44991.41,2,Credit Card,20/07/2023,89982.82,July,0.7,3,,1,0
202,Watch,Accessories,12841.6,2,JazzCash,21/07/2023,25683.2,July,0.8,3,3,1,0
203,Mobile,Electronics,14963.29,4,COD,22/07/2023,59853.16,July,0.7,3,3,1,0
204,Headphones,Accessories,69011.96,2,Debit Card,23/07/2023,138023.92,July,0.7,3,3,1,0
205,Mobile,Accessories,75716.18,2,Easypaisa,24/07/2023,151432.36,July,0.7,3,3,1,0
206,Laptop,Electronics,30178.09,3,Credit Card,25/07/2023,90534.27,July,0.7,6,3,1,0
207,Watch,Fashion,22024.2,3,COD,26/07/2023,66072.6,July,0.7,6,3,1,0
208,Watch,Accessories,51697.96,4,JazzCash,27/07/2023,206791.84,July,0.7,6,3,1,0
209,Headphones,Electronics,32994.37,4,COD,28/07/2023,131977.48,July,0.7,6,3,1,0
210,Laptop,Electronics,2518.22,3,JazzCash,29/07/2023,7554.66,July,0.7,6,3,1,0
211,Shoes,Fashion,12914.13,1,Debit Card,30/07/2023,12914.13,July,0.65,6,3,1,0
212,Mobile,Accessories,57419.79,1,Easypaisa,31/07/2023,57419.79,July,0.7,6,3,1,0
213,Bag,Accessories,52884.45,1,Debit Card,01/08/2023,52884.45,August,0.7,6,3,1,0
214,Mobile,Electronics,2654.13,4,Credit Card,02/08/2023,10616.52,August,0.8,6,3,1,0
215,Mobile,Electronics,18146.79,2,COD,03/08/2023,36293.58,August,0.65,6,3,1,0
216,Shoes,Fashion,18870.45,1,JazzCash,04/08/2023,18870.45,August,0.7,6,3,1,0
217,Mobile,Fashion,53915.47,4,JazzCash,05/08/2023,215661.88,August,0.7,6,3,1,0
218,Laptop,Accessories,2066.99,3,COD,06/08/2023,6200.97,August,0.7,6,3,1,0
219,Laptop,Accessories,8776.63,2,COD,07/08/2023,17553.26,August,0.7,6,3,1,0
220,Watch,Electronics,64093.33,3,Credit Card,08/08/2023,192279.99,August,0.8,6,3,1,0
221,Headphones,Accessories,14694.3,4,Debit Card,09/08/2023,58777.2,August,0.7,6,3,1,0
222,Bag,Fashion,52393.32,1,JazzCash,10/08/2023,52393.32,August,0.7,6,3,1,0
223,Mobile,Fashion,19435.53,1,Credit Card,11/08/2023,19435.53,August,0.8,6,3,1,0
224,Mobile,Electronics,8405.59,4,Debit Card,12/08/2023,33622.36,August,0.7,6,3,1,0
225,Shoes,Fashion,19832.19,1,Credit Card,13/08/2023,19832.19,August,0.7,6,,1,0
226,Headphones,Fashion,57920.22,2,JazzCash,14/08/2023,115840.44,August,0.7,6,3,1,0
227,Laptop,Fashion,68527.87,4,COD,15/08/2023,274111.48,August,0.65,6,3,1,0
228,Bag,Fashion,66502.48,3,COD,16/08/2023,199507.44,August,0.7,6,3,1,0
229,Watch,Electronics,32076.09,4,Debit Card,17/08/2023,128304.36,August,0.7,6,3,1,0
230,Laptop,Electronics,53612.77,2,Easypaisa,18/08/2023,107225.54,August,0.65,6,3,1,0
231,Headphones,Accessories,16796.25,2,Debit Card,19/08/2023,33592.5,August,0.7,6,3,1,0
232,Watch,Fashion,23805.24,4,Easypaisa,20/08/2023,95220.96,August,0.7,6,3,1,0
233,Shoes,Accessories,71758.7,4,Credit Card,21/08/2023,287034.8,August,0.8,,3,1,0
234,Shoes,Electronics,1533.65,1,Credit Card,22/08/2023,1533.65,August,0.7,6,3,1,0
235,Mobile,Electronics,7297.93,2,JazzCash,23/08/2023,14595.86,August,0.8,6,3,1,0
236,Headphones,Electronics,17026.96,4,Easypaisa,24/08/2023,68107.84,August,0.7,6,3,1,0
237,Bag,Electronics,2609.31,4,JazzCash,25/08/2023,10437.24,August,0.7,6,3,1,0
238,Watch,Electronics,14924.12,2,COD,26/08/2023,29848.24,August,0.7,6,3,1,0
239,Laptop,Electronics,46851.8,4,Easypaisa,27/08/2023,187407.2,August,0.8,6,3,1,0
240,Headphones,Electronics,34003.25,1,Debit Card,28/08/2023,34003.25,August,0.7,6,3,1,0
241,Headphones,Fashion,71467.4,2,COD,29/08/2023,142934.8,August,0.8,6,3,1,0
242,Shoes,Accessories,65486.76,1,COD,30/08/2023,65486.76,August,0.8,6,2,1,0
243,Mobile,Electronics,27674.48,1,Debit Card,31/08/2023,27674.48,August,0.7,6,2,1,0
244,Mobile,Fashion,2245,1,COD,01/09/2023,2245,September,0.7,6,2,1,0
245,Watch,Fashion,30685.55,1,Easypaisa,02/09/2023,30685.55,September,0.7,6,2,1,0
246,Shoes,Accessories,47428.45,2,JazzCash,03/09/2023,94856.9,September,0.7,6,2,1,0
247,Headphones,Electronics,21811.06,1,COD,04/09/2023,21811.06,September,0.7,6,0,1,0
248,Bag,Accessories,50119.84,1,Easypaisa,05/09/2023,50119.84,September,0.7,6,0,1,0
249,Shoes,Electronics,33048.23,4,Credit Card,06/09/2023,132192.92,September,0.8,6,,1,0
250,Watch,Fashion,44387.75,2,Easypaisa,07/09/2023,88775.5,September,0.8,6,0,1,0
251,Watch,Fashion,35172.06,2,JazzCash,08/09/2023,70344.12,September,0.7,6,0,1,0
252,Shoes,Fashion,21345,3,Easypaisa,09/09/2023,64035,September,0.8,6,0,1,0
253,Watch,Fashion,75902.04,2,Debit Card,10/09/2023,151804.08,September,0.7,6,0,1,0
254,Shoes,Accessories,61206.66,2,JazzCash,11/09/2023,122413.32,September,0.7,6,0,1,0
255,Laptop,Electronics,11639,3,Credit Card,12/09/2023,34917,September,0.7,6,0,1,0
256,Shoes,Electronics,69543.2,2,Debit Card,13/09/2023,139086.4,September,0.7,6,1,1,0
257,Shoes,Accessories,39250.78,2,Easypaisa,14/09/2023,78501.56,September,0.7,5,1,1,0
258,Watch,Electronics,71616.9,2,JazzCash,15/09/2023,143233.8,September,0.8,5,1,1,0
259,Watch,Fashion,64088.49,2,Credit Card,16/09/2023,128176.98,September,0.7,5,1,1,0
260,Mobile,Electronics,34304.47,3,Debit Card,17/09/2023,102913.41,September,0.8,5,1,1,0
261,Mobile,Fashion,2286.31,2,Credit Card,18/09/2023,4572.62,September,0.7,5,1,1,0
262,Laptop,Accessories,6221,2,Easypaisa,19/09/2023,12442,September,0.7,5,1,1,0
263,Mobile,Electronics,43559.92,3,Credit Card,20/09/2023,130679.76,September,0.8,5,1,1,0
264,Shoes,Accessories,50861.52,4,COD,21/09/2023,203446.08,September,0.7,5,1,1,0
265,Watch,Electronics,21002.07,1,Debit Card,22/09/2023,21002.07,September,0.8,5,1,1,0
266,Mobile,Fashion,11578.81,4,Credit Card,23/09/2023,46315.24,September,0.7,5,1,1,0
267,Mobile,Accessories,66876.95,3,Easypaisa,24/09/2023,200630.85,September,0.7,5,1,1,0
268,Laptop,Electronics,78759.97,1,Easypaisa,25/09/2023,78759.97,September,0.85,5,1,1,0
269,Headphones,Fashion,42292.37,3,Credit Card,26/09/2023,126877.11,September,0.7,5,3,1,0
270,Laptop,Accessories,14148.5,3,Easypaisa,27/09/2023,42445.5,September,0.8,5,3,1,0
271,Shoes,Accessories,22148.43,2,JazzCash,28/09/2023,44296.86,September,0.7,5,3,1,0
272,Watch,Electronics,1962.06,1,JazzCash,29/09/2023,1962.06,September,0.7,5,3,1,0
273,Laptop,Electronics,73186.76,2,JazzCash,30/09/2023,146373.52,September,0.7,5,3,1,0
274,Mobile,Electronics,9861.21,1,COD,01/10/2023,9861.21,October,0.7,5,3,1,0
275,Watch,Fashion,46333.06,3,Credit Card,02/10/2023,138999.18,October,0.7,5,3,1,0
